"cty","Name","Individual_Income_for_Immigrants_rP_gP_pall"
"cty48233","Hutchinson County, TX",35748
"cty36109","Tompkins County, NY",35747
"cty44003","Kent County, RI",35742
"cty27097","Morrison County, MN",35739
"cty47001","Anderson County, TN",35737
"cty25023","Plymouth County, MA",35736
"cty27169","Winona County, MN",35696
"cty48361","Orange County, TX",35688
"cty17099","LaSalle County, IL",35682
"cty40119","Payne County, OK",35679
"cty37019","Brunswick County, NC",35661
"cty08013","Boulder County, CO",35593
"cty02130","Ketchikan Gateway Borough, AK",35588
"cty17183","Vermilion County, IL",35574
"cty35039","Rio Arriba County, NM",35563
"cty28089","Madison County, MS",35552
"cty09009","New Haven County, CT",35541
"cty32015","Lander County, NV",35538
"cty05119","Pulaski County, AR",35526
"cty08069","Larimer County, CO",35516
"cty39103","Medina County, OH",35513
"cty42027","Centre County, PA",35512
"cty51510","Alexandria city, VA",35510
"cty17197","Will County, IL",35509
"cty01001","Autauga County, AL",35507
"cty19061","Dubuque County, IA",35505
"cty19113","Linn County, IA",35494
"cty40071","Kay County, OK",35486
"cty18105","Monroe County, IN",35486
"cty42063","Indiana County, PA",35483
"cty39009","Athens County, OH",35474
"cty50027","Windsor County, VT",35469
"cty19153","Polk County, IA",35431
"cty51550","Chesapeake city, VA",35418
"cty40111","Okmulgee County, OK",35415
"cty40073","Kingfisher County, OK",35403
"cty34029","Ocean County, NJ",35377
"cty45041","Florence County, SC",35374
"cty20057","Ford County, KS",35357
"cty55115","Shawano County, WI",35344
"cty25027","Worcester County, MA",35265
"cty09003","Hartford County, CT",35264
"cty02020","Anchorage Municipality, AK",35259
"cty06061","Placer County, CA",35257
"cty51199","York County, VA",35249
"cty48491","Williamson County, TX",35235
"cty05091","Miller County, AR",35227
"cty37197","Yadkin County, NC",35222
"cty48219","Hockley County, TX",35218
"cty26065","Ingham County, MI",35193
"cty51760","Richmond city, VA",35192
"cty39049","Franklin County, OH",35183
"cty48007","Aransas County, TX",35170
"cty51680","Lynchburg city, VA",35164
"cty17117","Macoupin County, IL",35154
"cty55139","Winnebago County, WI",35149
"cty42037","Columbia County, PA",35140
"cty08005","Arapahoe County, CO",35090
"cty22103","St. Tammany Parish, LA",35079
"cty48039","Brazoria County, TX",35077
"cty29183","St. Charles County, MO",35075
"cty26103","Marquette County, MI",35068
"cty39059","Guernsey County, OH",35056
"cty39109","Miami County, OH",35052
"cty45059","Laurens County, SC",35051
"cty08037","Eagle County, CO",35014
"cty27139","Scott County, MN",35010
"cty37063","Durham County, NC",34987
"cty36053","Madison County, NY",34980
"cty49043","Summit County, UT",34974
"cty37067","Forsyth County, NC",34970
"cty36089","St. Lawrence County, NY",34970
"cty18113","Noble County, IN",34964
"cty42129","Westmoreland County, PA",34963
"cty39039","Defiance County, OH",34961
"cty29021","Buchanan County, MO",34959
"cty23027","Waldo County, ME",34950
"cty18081","Johnson County, IN",34940
"cty19181","Warren County, IA",34916
"cty06027","Inyo County, CA",34914
"cty54011","Cabell County, WV",34909
"cty26077","Kalamazoo County, MI",34904
"cty48121","Denton County, TX",34903
"cty25005","Bristol County, MA",34900
"cty34017","Hudson County, NJ",34844
"cty53061","Snohomish County, WA",34828
"cty17031","Cook County, IL",34827
"cty29165","Platte County, MO",34814
"cty12085","Martin County, FL",34811
"cty39165","Warren County, OH",34807
"cty48473","Waller County, TX",34801
"cty39035","Cuyahoga County, OH",34784
