"cty","Name","Individual_Income_for_U.S._Natives_rP_gP_pall"
"cty46129","Walworth County, SD",35375
"cty31139","Pierce County, NE",35373
"cty17197","Will County, IL",35368
"cty19011","Benton County, IA",35368
"cty55087","Outagamie County, WI",35365
"cty30095","Stillwater County, MT",35365
"cty24021","Frederick County, MD",35363
"cty19049","Dallas County, IA",35361
"cty46009","Bon Homme County, SD",35340
"cty19181","Warren County, IA",35337
"cty39149","Shelby County, OH",35330
"cty08125","Yuma County, CO",35327
"cty42011","Berks County, PA",35326
"cty48033","Borden County, TX",35324
"cty20017","Chase County, KS",35323
"cty31081","Hamilton County, NE",35312
"cty34029","Ocean County, NJ",35310
"cty48023","Baylor County, TX",35299
"cty08013","Boulder County, CO",35298
"cty31159","Seward County, NE",35298
"cty48103","Crane County, TX",35282
"cty19077","Guthrie County, IA",35264
"cty26125","Oakland County, MI",35258
"cty19091","Humboldt County, IA",35257
"cty39173","Wood County, OH",35255
"cty55073","Marathon County, WI",35247
"cty29165","Platte County, MO",35246
"cty31179","Wayne County, NE",35230
"cty27169","Winona County, MN",35220
"cty20153","Rawlins County, KS",35219
"cty13113","Fayette County, GA",35215
"cty51075","Goochland County, VA",35209
"cty56035","Sublette County, WY",35208
"cty20063","Gove County, KS",35206
"cty46055","Haakon County, SD",35203
"cty17009","Brown County, IL",35190
"cty39055","Geauga County, OH",35190
"cty22121","West Baton Rouge Parish, LA",35186
"cty38003","Barnes County, ND",35185
"cty48157","Fort Bend County, TX",35180
"cty31029","Chase County, NE",35166
"cty27093","Meeker County, MN",35166
"cty24003","Anne Arundel County, MD",35159
"cty19085","Harrison County, IA",35154
"cty31153","Sarpy County, NE",35148
"cty20197","Wabaunsee County, KS",35145
"cty38035","Grand Forks County, ND",35139
"cty42095","Northampton County, PA",35139
"cty46003","Aurora County, SD",35130
"cty17063","Grundy County, IL",35130
"cty27097","Morrison County, MN",35126
"cty46123","Tripp County, SD",35122
"cty20053","Ellsworth County, KS",35122
"cty46099","Minnehaha County, SD",35119
"cty48109","Culberson County, TX",35105
"cty32029","Storey County, NV",35101
"cty48003","Andrews County, TX",35098
"cty31031","Cherry County, NE",35092
"cty31013","Box Butte County, NE",35081
"cty48475","Ward County, TX",35056
"cty20051","Ellis County, KS",35047
"cty27111","Otter Tail County, MN",35042
"cty06097","Sonoma County, CA",35042
"cty08059","Jefferson County, CO",35041
"cty51153","Prince William County, VA",35036
"cty56017","Hot Springs County, WY",35036
"cty48095","Concho County, TX",35033
"cty25007","Dukes County, MA",35027
"cty19171","Tama County, IA",35023
"cty19071","Fremont County, IA",34998
"cty56009","Converse County, WY",34998
"cty06055","Napa County, CA",34989
"cty19003","Adams County, IA",34983
"cty20167","Russell County, KS",34977
"cty48505","Zapata County, TX",34971
"cty35011","De Baca County, NM",34962
"cty19079","Hamilton County, IA",34961
"cty56037","Sweetwater County, WY",34953
"cty29075","Gentry County, MO",34946
"cty34007","Camden County, NJ",34937
"cty25001","Barnstable County, MA",34933
"cty55043","Grant County, WI",34933
"cty26131","Ontonagon County, MI",34912
"cty17093","Kendall County, IL",34912
"cty56031","Platte County, WY",34912
"cty27117","Pipestone County, MN",34902
"cty08039","Elbert County, CO",34896
"cty30091","Sheridan County, MT",34895
"cty08091","Ouray County, CO",34884
"cty19063","Emmet County, IA",34882
"cty29183","St. Charles County, MO",34878
"cty27099","Mower County, MN",34864
"cty46013","Brown County, SD",34863
"cty55027","Dodge County, WI",34845
"cty19173","Taylor County, IA",34838
"cty25013","Hampden County, MA",34832
"cty38063","Nelson County, ND",34830
"cty31175","Valley County, NE",34830
"cty36029","Erie County, NY",34828
"cty50007","Chittenden County, VT",34825
"cty19065","Fayette County, IA",34822
"cty44007","Providence County, RI",34821
"cty31037","Colfax County, NE",34805
"cty20195","Trego County, KS",34804
"cty55021","Columbia County, WI",34799
"cty27047","Freeborn County, MN",34797
"cty19025","Calhoun County, IA",34793
"cty36067","Onondaga County, NY",34791
"cty42041","Cumberland County, PA",34791
"cty53033","King County, WA",34789
"cty36111","Ulster County, NY",34786
"cty51017","Bath County, VA",34785
"cty20193","Thomas County, KS",34783
"cty06001","Alameda County, CA",34782
"cty55063","La Crosse County, WI",34781
"cty17089","Kane County, IL",34777
"cty06059","Orange County, CA",34777
"cty20029","Cloud County, KS",34777
"cty19113","Linn County, IA",34766
"cty46077","Kingsbury County, SD",34760
"cty55141","Wood County, WI",34752
"cty19093","Ida County, IA",34742
"cty31119","Madison County, NE",34738
"cty27043","Faribault County, MN",34728
"cty48425","Somervell County, TX",34720
"cty24041","Talbot County, MD",34698
"cty09011","New London County, CT",34692
"cty19127","Marshall County, IA",34691
"cty55065","Lafayette County, WI",34666
"cty55049","Iowa County, WI",34657
"cty42003","Allegheny County, PA",34655
"cty24037","St. Mary's County, MD",34643
"cty51199","York County, VA",34642
"cty19153","Polk County, IA",34624
"cty42125","Washington County, PA",34618
"cty55119","Taylor County, WI",34614
"cty15003","Honolulu County, HI",34608
"cty19137","Montgomery County, IA",34604
"cty40053","Grant County, OK",34591
"cty36061","New York County, NY",34580
"cty51085","Hanover County, VA",34579
"cty19033","Cerro Gordo County, IA",34566
"cty42093","Montour County, PA",34566
"cty30045","Judith Basin County, MT",34563
"cty31041","Custer County, NE",34558
"cty08037","Eagle County, CO",34553
"cty08107","Routt County, CO",34552
"cty42129","Westmoreland County, PA",34547
"cty48015","Austin County, TX",34539
"cty19045","Clinton County, IA",34522
"cty31129","Nuckolls County, NE",34518
"cty48009","Archer County, TX",34492
"cty55111","Sauk County, WI",34481
"cty19163","Scott County, IA",34474
"cty20073","Greenwood County, KS",34473
"cty29157","Perry County, MO",34473
"cty55045","Green County, WI",34469
"cty46081","Lawrence County, SD",34445
"cty46053","Gregory County, SD",34443
"cty31155","Saunders County, NE",34440
"cty13067","Cobb County, GA",34433
"cty29189","St. Louis County, MO",34424
"cty55017","Chippewa County, WI",34420
"cty46035","Davison County, SD",34403
"cty31053","Dodge County, NE",34385
"cty27077","Lake of the Woods County, MN",34376
"cty08019","Clear Creek County, CO",34375
"cty31035","Clay County, NE",34373
"cty19001","Adair County, IA",34358
"cty19095","Iowa County, IA",34345
"cty17049","Effingham County, IL",34341
"cty31045","Dawes County, NE",34336
"cty44005","Newport County, RI",34297
"cty20047","Edwards County, KS",34295
"cty22005","Ascension Parish, LA",34293
"cty46049","Faulk County, SD",34285
"cty19125","Marion County, IA",34282
"cty20159","Rice County, KS",34276
"cty51179","Stafford County, VA",34268
"cty46029","Codington County, SD",34232
"cty24035","Queen Anne's County, MD",34232
"cty50023","Washington County, VT",34230
"cty51041","Chesterfield County, VA",34228
"cty27137","St. Louis County, MN",34226
"cty34009","Cape May County, NJ",34219
"cty31025","Cass County, NE",34218
"cty39103","Medina County, OH",34195
"cty42047","Elk County, PA",34193
"cty20101","Lane County, KS",34172
"cty56025","Natrona County, WY",34170
"cty31121","Merrick County, NE",34164
"cty38029","Emmons County, ND",34153
"cty48195","Hansford County, TX",34151
"cty51101","King William County, VA",34139
"cty48171","Gillespie County, TX",34137
"cty55095","Polk County, WI",34133
"cty19097","Jackson County, IA",34129
"cty20071","Greeley County, KS",34129
"cty31001","Adams County, NE",34127
"cty18129","Posey County, IN",34114
"cty39085","Lake County, OH",34101
"cty34033","Salem County, NJ",34100
"cty26037","Clinton County, MI",34098
"cty20147","Phillips County, KS",34084
"cty20007","Barber County, KS",34083
"cty48097","Cooke County, TX",34080
"cty20031","Coffey County, KS",34072
"cty19115","Louisa County, IA",34071
"cty51735","Poquoson city, VA",34070
"cty36055","Monroe County, NY",34069
"cty31167","Stanton County, NE",34053
"cty47187","Williamson County, TN",34038
"cty31019","Buffalo County, NE",34038
"cty48115","Dawson County, TX",34037
"cty19067","Floyd County, IA",34032
"cty27025","Chisago County, MN",34029
"cty27095","Mille Lacs County, MN",34028
"cty31111","Lincoln County, NE",34026
"cty32017","Lincoln County, NV",34022
"cty46019","Butte County, SD",34014
"cty55097","Portage County, WI",34004
"cty55125","Vilas County, WI",33999
"cty55029","Door County, WI",33996
"cty17011","Bureau County, IL",33994
"cty19099","Jasper County, IA",33990
"cty46039","Deuel County, SD",33985
"cty51099","King George County, VA",33981
"cty19013","Black Hawk County, IA",33981
"cty27017","Carlton County, MN",33980
"cty46125","Turner County, SD",33980
"cty36069","Ontario County, NY",33967
"cty42069","Lackawanna County, PA",33961
"cty55121","Trempealeau County, WI",33954
"cty55117","Sheboygan County, WI",33951
"cty31077","Greeley County, NE",33940
"cty27135","Roseau County, MN",33935
"cty55099","Price County, WI",33935
"cty20161","Riley County, KS",33934
"cty24029","Kent County, MD",33928
"cty30093","Silver Bow County, MT",33925
"cty46057","Hamlin County, SD",33925
"cty19069","Franklin County, IA",33920
"cty31115","Loup County, NE",33918
"cty18063","Hendricks County, IN",33911
"cty40045","Ellis County, OK",33908
"cty25025","Suffolk County, MA",33904
"cty48173","Glasscock County, TX",33892
"cty31057","Dundy County, NE",33892
"cty31055","Douglas County, NE",33888
"cty31107","Knox County, NE",33885
"cty56023","Lincoln County, WY",33884
"cty20117","Marshall County, KS",33880
"cty20113","McPherson County, KS",33870
"cty17085","Jo Daviess County, IL",33867
"cty31079","Hall County, NE",33859
"cty36109","Tompkins County, NY",33856
"cty42131","Wyoming County, PA",33855
"cty50027","Windsor County, VT",33835
"cty42113","Sullivan County, PA",33829
"cty31109","Lancaster County, NE",33818
"cty10003","New Castle County, DE",33816
"cty31089","Holt County, NE",33815
"cty31051","Dixon County, NE",33809
"cty42031","Clarion County, PA",33808
"cty18159","Tipton County, IN",33804
"cty27153","Todd County, MN",33803
"cty20163","Rooks County, KS",33802
"cty39165","Warren County, OH",33792
"cty48121","Denton County, TX",33787
"cty46101","Moody County, SD",33782
"cty02090","Fairbanks North Star Borough, AK",33777
"cty48397","Rockwall County, TX",33774
"cty19117","Lucas County, IA",33766
"cty56001","Albany County, WY",33758
"cty19157","Poweshiek County, IA",33752
"cty31021","Burt County, NE",33746
"cty42019","Butler County, PA",33745
"cty27115","Pine County, MN",33732
"cty17103","Lee County, IL",33731
"cty42079","Luzerne County, PA",33727
"cty17203","Woodford County, IL",33722
"cty31131","Otoe County, NE",33721
"cty55139","Winnebago County, WI",33716
"cty48339","Montgomery County, TX",33711
"cty36039","Greene County, NY",33705
"cty55055","Jefferson County, WI",33705
"cty32033","White Pine County, NV",33704
