"cty","Name","Individual_Income_for_U.S._Natives_rP_gP_pall"
"cty21103","Henry County, KY",27058
"cty47009","Blount County, TN",27050
"cty21023","Bracken County, KY",27048
"cty17055","Franklin County, IL",27033
"cty37159","Rowan County, NC",27028
"cty18053","Grant County, IN",27027
"cty28137","Tate County, MS",27021
"cty28101","Newton County, MS",27014
"cty48099","Coryell County, TX",27013
"cty28075","Lauderdale County, MS",27013
"cty48373","Polk County, TX",27009
"cty48155","Foard County, TX",27009
"cty37079","Greene County, NC",27008
"cty28077","Lawrence County, MS",27005
"cty13115","Floyd County, GA",27000
"cty37071","Gaston County, NC",26994
"cty26135","Oscoda County, MI",26985
"cty21005","Anderson County, KY",26985
"cty20097","Kiowa County, KS",26984
"cty06103","Tehama County, CA",26983
"cty02013","Aleutians East Borough, AK",26980
"cty29029","Camden County, MO",26977
"cty28067","Jones County, MS",26973
"cty35061","Valencia County, NM",26973
"cty01051","Elmore County, AL",26970
"cty40069","Johnston County, OK",26966
"cty22037","East Feliciana Parish, LA",26964
"cty48333","Mills County, TX",26958
"cty51079","Greene County, VA",26954
"cty45017","Calhoun County, SC",26948
"cty28079","Leake County, MS",26942
"cty12059","Holmes County, FL",26919
"cty40079","Le Flore County, OK",26918
"cty06009","Calaveras County, CA",26916
"cty21027","Breckinridge County, KY",26913
"cty21009","Barren County, KY",26911
"cty39073","Hocking County, OH",26899
"cty45081","Saluda County, SC",26898
"cty01097","Mobile County, AL",26894
"cty37169","Stokes County, NC",26894
"cty01069","Houston County, AL",26894
"cty16075","Payette County, ID",26893
"cty51143","Pittsylvania County, VA",26882
"cty45037","Edgefield County, SC",26877
"cty37151","Randolph County, NC",26871
"cty13185","Lowndes County, GA",26862
"cty48213","Henderson County, TX",26854
"cty01109","Pike County, AL",26837
"cty48153","Floyd County, TX",26837
"cty12119","Sumter County, FL",26836
"cty05017","Chicot County, AR",26833
"cty05085","Lonoke County, AR",26831
"cty28139","Tippah County, MS",26827
"cty37157","Rockingham County, NC",26818
"cty01103","Morgan County, AL",26815
"cty06115","Yuba County, CA",26812
"cty51113","Madison County, VA",26809
"cty05117","Prairie County, AR",26804
"cty13165","Jenkins County, GA",26801
"cty04003","Cochise County, AZ",26800
"cty37077","Granville County, NC",26791
"cty40121","Pittsburg County, OK",26787
"cty45059","Laurens County, SC",26784
"cty47051","Franklin County, TN",26779
"cty21161","Mason County, KY",26777
"cty37117","Martin County, NC",26777
"cty29197","Schuyler County, MO",26775
"cty48375","Potter County, TX",26772
"cty21113","Jessamine County, KY",26770
"cty28071","Lafayette County, MS",26770
"cty41025","Harney County, OR",26769
"cty40013","Bryan County, OK",26768
"cty17153","Pulaski County, IL",26765
"cty21219","Todd County, KY",26764
"cty04021","Pinal County, AZ",26763
"cty22071","Orleans Parish, LA",26763
"cty21101","Henderson County, KY",26760
"cty05063","Independence County, AR",26760
"cty12031","Duval County, FL",26757
"cty45073","Oconee County, SC",26757
"cty05069","Jefferson County, AR",26753
"cty18079","Jennings County, IN",26751
"cty29125","Maries County, MO",26749
"cty21183","Ohio County, KY",26735
"cty29143","New Madrid County, MO",26732
"cty37057","Davidson County, NC",26731
"cty29199","Scotland County, MO",26728
"cty08083","Montezuma County, CO",26727
"cty12127","Volusia County, FL",26720
"cty54089","Summers County, WV",26712
"cty13047","Catoosa County, GA",26709
"cty51185","Tazewell County, VA",26699
"cty13045","Carroll County, GA",26698
"cty30003","Big Horn County, MT",26696
"cty04015","Mohave County, AZ",26695
"cty39079","Jackson County, OH",26694
"cty12077","Liberty County, FL",26690
"cty16027","Canyon County, ID",26687
"cty13031","Bulloch County, GA",26686
"cty30037","Golden Valley County, MT",26672
"cty47117","Marshall County, TN",26668
"cty21129","Lee County, KY",26657
"cty45041","Florence County, SC",26656
"cty05147","Woodruff County, AR",26654
"cty51077","Grayson County, VA",26642
"cty13285","Troup County, GA",26637
"cty05071","Johnson County, AR",26636
"cty21209","Scott County, KY",26633
"cty18117","Orange County, IN",26629
"cty23023","Sagadahoc County, ME",26629
"cty21213","Simpson County, KY",26628
"cty35035","Otero County, NM",26626
"cty05033","Crawford County, AR",26615
"cty13023","Bleckley County, GA",26614
"cty45007","Anderson County, SC",26613
"cty37033","Caswell County, NC",26606
"cty21097","Harrison County, KY",26605
"cty12101","Pasco County, FL",26592
"cty45085","Sumter County, SC",26590
"cty22111","Union Parish, LA",26588
"cty01071","Jackson County, AL",26586
"cty37163","Sampson County, NC",26583
"cty13085","Dawson County, GA",26583
"cty18161","Union County, IN",26578
"cty47083","Houston County, TN",26575
"cty16015","Boise County, ID",26573
"cty51139","Page County, VA",26559
"cty20021","Cherokee County, KS",26555
"cty47081","Hickman County, TN",26553
"cty37193","Wilkes County, NC",26551
"cty28031","Covington County, MS",26547
"cty05059","Hot Spring County, AR",26537
"cty05031","Craighead County, AR",26536
"cty29097","Jasper County, MO",26526
"cty35047","San Miguel County, NM",26526
"cty48225","Houston County, TX",26524
"cty32001","Churchill County, NV",26518
"cty18175","Washington County, IN",26517
"cty12033","Escambia County, FL",26515
"cty21019","Boyd County, KY",26513
"cty01005","Barbour County, AL",26511
"cty21123","Larue County, KY",26511
"cty41035","Klamath County, OR",26507
"cty01121","Talladega County, AL",26494
"cty47163","Sullivan County, TN",26494
"cty48351","Newton County, TX",26481
"cty37113","Macon County, NC",26477
"cty47039","Decatur County, TN",26475
"cty28141","Tishomingo County, MS",26461
"cty21191","Pendleton County, KY",26460
"cty18155","Switzerland County, IN",26451
"cty48307","McCulloch County, TX",26446
"cty39015","Brown County, OH",26436
"cty01059","Franklin County, AL",26435
"cty51137","Orange County, VA",26430
"cty39047","Fayette County, OH",26426
"cty49053","Washington County, UT",26412
"cty30061","Mineral County, MT",26404
"cty54055","Mercer County, WV",26391
"cty05003","Ashley County, AR",26391
"cty51169","Scott County, VA",26374
"cty05009","Boone County, AR",26370
"cty28009","Benton County, MS",26369
"cty39001","Adams County, OH",26364
"cty35009","Curry County, NM",26359
"cty12069","Lake County, FL",26351
"cty40097","Mayes County, OK",26350
"cty37133","Onslow County, NC",26346
"cty28047","Harrison County, MS",26346
"cty21217","Taylor County, KY",26327
"cty47131","Obion County, TN",26326
"cty40015","Caddo County, OK",26325
"cty18013","Brown County, IN",26323
"cty01079","Lawrence County, AL",26303
"cty51037","Charlotte County, VA",26298
"cty46085","Lyman County, SD",26293
"cty51520","Bristol city, VA",26290
"cty22029","Concordia Parish, LA",26284
"cty01107","Pickens County, AL",26284
"cty23027","Waldo County, ME",26282
"cty29217","Vernon County, MO",26276
"cty35037","Quay County, NM",26275
"cty13123","Gilmer County, GA",26269
"cty48277","Lamar County, TX",26265
"cty05131","Sebastian County, AR",26262
"cty28127","Simpson County, MS",26253
"cty51167","Russell County, VA",26248
"cty48417","Shackelford County, TX",26246
"cty05109","Pike County, AR",26245
"cty13261","Sumter County, GA",26244
"cty29173","Ralls County, MO",26240
"cty22073","Ouachita Parish, LA",26238
"cty13069","Coffee County, GA",26238
"cty13293","Upson County, GA",26228
"cty05019","Clark County, AR",26219
"cty12053","Hernando County, FL",26215
"cty48067","Cass County, TX",26213
"cty28001","Adams County, MS",26206
"cty47107","McMinn County, TN",26191
"cty51117","Mecklenburg County, VA",26184
"cty28123","Scott County, MS",26182
"cty51007","Amelia County, VA",26173
"cty26031","Cheboygan County, MI",26167
"cty05115","Pope County, AR",26157
"cty41033","Josephine County, OR",26154
"cty28115","Pontotoc County, MS",26148
"cty37019","Brunswick County, NC",26139
"cty05005","Baxter County, AR",26138
"cty13241","Rabun County, GA",26137
"cty13109","Evans County, GA",26132
"cty22067","Morehouse Parish, LA",26129
"cty01111","Randolph County, AL",26127
"cty30103","Treasure County, MT",26117
"cty37085","Harnett County, NC",26112
"cty28049","Hinds County, MS",26111
"cty01019","Cherokee County, AL",26110
"cty21223","Trimble County, KY",26106
"cty13071","Colquitt County, GA",26105
"cty28147","Walthall County, MS",26102
"cty22043","Grant Parish, LA",26098
"cty40115","Ottawa County, OK",26080
"cty45025","Chesterfield County, SC",26077
"cty35019","Guadalupe County, NM",26075
"cty45051","Horry County, SC",26071
"cty29091","Howell County, MO",26071
"cty45075","Orangeburg County, SC",26067
"cty48315","Marion County, TX",26055
"cty54007","Braxton County, WV",26051
"cty54043","Lincoln County, WV",26048
"cty13205","Mitchell County, GA",26042
"cty13257","Stephens County, GA",26041
"cty17151","Pope County, IL",26031
"cty13129","Gordon County, GA",26030
"cty47125","Montgomery County, TN",26028
"cty01021","Chilton County, AL",26027
"cty45043","Georgetown County, SC",26020
"cty05091","Miller County, AR",26017
"cty20061","Geary County, KS",26017
"cty54101","Webster County, WV",26016
"cty47069","Hardeman County, TN",26013
"cty48241","Jasper County, TX",26010
"cty48253","Jones County, TX",26005
"cty01057","Fayette County, AL",26004
"cty05047","Franklin County, AR",25999
"cty18149","Starke County, IN",25997
"cty39145","Scioto County, OH",25992
"cty29085","Hickory County, MO",25992
"cty53045","Mason County, WA",25991
"cty54053","Mason County, WV",25987
"cty01039","Covington County, AL",25985
"cty35017","Grant County, NM",25983
"cty21167","Mercer County, KY",25982
"cty13127","Glynn County, GA",25977
"cty28085","Lincoln County, MS",25977
"cty47161","Stewart County, TN",25975
"cty45065","McCormick County, SC",25968
"cty18119","Owen County, IN",25962
"cty01027","Clay County, AL",25958
"cty47105","Loudon County, TN",25957
"cty48313","Madison County, TX",25956
"cty05051","Garland County, AR",25952
"cty12111","St. Lucie County, FL",25949
"cty05145","White County, AR",25949
"cty18025","Crawford County, IN",25947
"cty22041","Franklin Parish, LA",25944
"cty12005","Bay County, FL",25941
"cty29061","Daviess County, MO",25940
"cty45011","Barnwell County, SC",25933
"cty47017","Carroll County, TN",25925
"cty37003","Alexander County, NC",25923
"cty46071","Jackson County, SD",25922
"cty13107","Emanuel County, GA",25915
"cty54087","Roane County, WV",25909
"cty13183","Long County, GA",25905
"cty06063","Plumas County, CA",25900
"cty28043","Grenada County, MS",25898
"cty51131","Northampton County, VA",25896
"cty13015","Bartow County, GA",25893
"cty47141","Putnam County, TN",25893
"cty05083","Logan County, AR",25891
"cty45057","Lancaster County, SC",25875
"cty13159","Jasper County, GA",25874
"cty01123","Tallapoosa County, AL",25873
"cty51820","Waynesboro city, VA",25872
"cty05035","Crittenden County, AR",25871
"cty29039","Cedar County, MO",25868
"cty37007","Anson County, NC",25860
"cty45077","Pickens County, SC",25859
"cty47047","Fayette County, TN",25849
"cty28113","Pike County, MS",25847
"cty01045","Dale County, AL",25846
"cty37023","Burke County, NC",25846
"cty32023","Nye County, NV",25843
"cty13265","Taliaferro County, GA",25840
"cty13119","Franklin County, GA",25835
"cty13175","Laurens County, GA",25829
"cty12125","Union County, FL",25827
"cty40091","McIntosh County, OK",25814
"cty28023","Clarke County, MS",25802
"cty37143","Perquimans County, NC",25788
"cty47027","Clay County, TN",25788
"cty48263","Kent County, TX",25786
"cty13131","Grady County, GA",25783
"cty01043","Cullman County, AL",25772
"cty45089","Williamsburg County, SC",25765
"cty24510","Baltimore city, MD",25761
"cty47003","Bedford County, TN",25760
"cty47053","Gibson County, TN",25759
"cty01013","Butler County, AL",25756
"cty05103","Ouachita County, AR",25752
"cty51590","Danville city, VA",25750
"cty40101","Muskogee County, OK",25743
"cty29203","Shannon County, MO",25730
"cty40077","Latimer County, OK",25723
"cty51685","Manassas Park city, VA",25720
"cty05141","Van Buren County, AR",25714
"cty54065","Morgan County, WV",25713
"cty51710","Norfolk city, VA",25709
"cty40089","McCurtain County, OK",25697
"cty12003","Baker County, FL",25690
"cty01095","Marshall County, AL",25686
"cty12045","Gulf County, FL",25686
"cty04012","La Paz County, AZ",25675
"cty37131","Northampton County, NC",25666
"cty40111","Okmulgee County, OK",25663
"cty21151","Madison County, KY",25663
"cty37107","Lenoir County, NC",25659
"cty13209","Montgomery County, GA",25648
"cty37153","Richmond County, NC",25643
"cty01017","Chambers County, AL",25630
"cty54067","Nicholas County, WV",25629
"cty29119","McDonald County, MO",25625
"cty47097","Lauderdale County, TN",25621
"cty54025","Greenbrier County, WV",25621
"cty21017","Bourbon County, KY",25618
"cty39163","Vinton County, OH",25603
"cty47123","Monroe County, TN",25592
"cty01065","Hale County, AL",25591
"cty21049","Clark County, KY",25588
"cty02185","North Slope Borough, AK",25587
"cty13193","Macon County, GA",25585
"cty13211","Morgan County, GA",25579
"cty12079","Madison County, FL",25577
"cty46137","Ziebach County, SD",25573
"cty21081","Grant County, KY",25564
"cty28065","Jefferson Davis County, MS",25560
"cty37091","Hertford County, NC",25553
"cty13053","Chattahoochee County, GA",25553
"cty01131","Wilcox County, AL",25547
"cty47115","Marion County, TN",25546
"cty28041","Greene County, MS",25539
"cty13017","Ben Hill County, GA",25536
"cty54023","Grant County, WV",25531
"cty05097","Montgomery County, AR",25531
"cty37061","Duplin County, NC",25530
"cty05061","Howard County, AR",25530
"cty21069","Fleming County, KY",25527
"cty37027","Caldwell County, NC",25521
"cty28017","Chickasaw County, MS",25518
"cty13305","Wayne County, GA",25506
"cty51670","Hopewell city, VA",25506
"cty21169","Metcalfe County, KY",25495
"cty28117","Prentiss County, MS",25492
"cty12013","Calhoun County, FL",25492
"cty05121","Randolph County, AR",25491
"cty04017","Navajo County, AZ",25487
"cty47045","Dyer County, TN",25486
"cty13143","Haralson County, GA",25485
"cty13105","Elbert County, GA",25478
"cty37043","Clay County, NC",25477
"cty29167","Polk County, MO",25471
"cty13147","Hart County, GA",25470
"cty37045","Cleveland County, NC",25467
"cty13279","Toombs County, GA",25464
"cty37121","Mitchell County, NC",25455
"cty13179","Liberty County, GA",25452
"cty13063","Clayton County, GA",25442
"cty05095","Monroe County, AR",25438
"cty28061","Jasper County, MS",25425
"cty37051","Cumberland County, NC",25422
"cty13291","Union County, GA",25414
"cty05023","Cleburne County, AR",25409
"cty05073","Lafayette County, AR",25403
"cty54031","Hardy County, WV",25398
"cty47171","Unicoi County, TN",25396
"cty13317","Wilkes County, GA",25393
"cty40075","Kiowa County, OK",25386
"cty02070","Dillingham Census Area, AK",25382
"cty01015","Calhoun County, AL",25378
"cty45031","Darlington County, SC",25367
"cty28093","Marshall County, MS",25367
"cty13311","White County, GA",25349
"cty39127","Perry County, OH",25342
"cty46075","Jones County, SD",25339
"cty30033","Garfield County, MT",25338
"cty35055","Taos County, NM",25335
"cty13275","Thomas County, GA",25335
"cty51760","Richmond city, VA",25316
"cty01093","Marion County, AL",25314
"cty29207","Stoddard County, MO",25313
"cty01055","Etowah County, AL",25306
"cty47077","Henderson County, TN",25302
"cty13215","Muscogee County, GA",25296
"cty13303","Washington County, GA",25295
"cty39053","Gallia County, OH",25294
"cty12063","Jackson County, FL",25282
"cty06003","Alpine County, CA",25273
"cty05079","Lincoln County, AR",25267
"cty28013","Calhoun County, MS",25262
"cty13149","Heard County, GA",25256
"cty13005","Bacon County, GA",25256
"cty29109","Lawrence County, MO",25252
"cty35051","Sierra County, NM",25243
"cty47033","Crockett County, TN",25235
"cty22083","Richland Parish, LA",25233
"cty13229","Pierce County, GA",25224
"cty37083","Halifax County, NC",25215
"cty51029","Buckingham County, VA",25211
"cty39009","Athens County, OH",25210
"cty29141","Morgan County, MO",25192
"cty13021","Bibb County, GA",25192
"cty39071","Highland County, OH",25184
"cty13163","Jefferson County, GA",25178
"cty21085","Grayson County, KY",25177
"cty05093","Mississippi County, AR",25176
"cty40127","Pushmataha County, OK",25175
"cty47167","Tipton County, TN",25162
"cty13157","Jackson County, GA",25157
"cty30089","Sanders County, MT",25145
"cty29169","Pulaski County, MO",25139
"cty47011","Bradley County, TN",25135
"cty47183","Weakley County, TN",25130
"cty45021","Cherokee County, SC",25123
"cty16043","Fremont County, ID",25116
"cty05067","Jackson County, AR",25111
"cty12007","Bradford County, FL",25110
"cty28153","Wayne County, MS",25092
"cty47121","Meigs County, TN",25092
"cty39087","Lawrence County, OH",25091
"cty12017","Citrus County, FL",25090
"cty47111","Macon County, TN",25080
"cty47181","Wayne County, TN",25075
"cty05123","St. Francis County, AR",25069
"cty29015","Benton County, MO",25062
"cty37187","Washington County, NC",25055
"cty35057","Torrance County, NM",25052
"cty47035","Cumberland County, TN",25045
"cty12023","Columbia County, FL",25041
"cty12083","Marion County, FL",25036
"cty05077","Lee County, AR",25033
"cty47143","Rhea County, TN",25032
"cty28103","Noxubee County, MS",25028
"cty47177","Warren County, TN",25023
"cty21173","Montgomery County, KY",25019
"cty02164","Lake and Peninsula Borough, AK",25017
"cty26085","Lake County, MI",25013
"cty28063","Jefferson County, MS",25008
"cty12049","Hardee County, FL",25007
"cty05101","Newton County, AR",25004
"cty54017","Doddridge County, WV",25003
"cty29011","Barton County, MO",24997
"cty29229","Wright County, MO",24994
"cty47137","Pickett County, TN",24991
"cty51173","Smyth County, VA",24969
"cty40005","Atoka County, OK",24967
"cty21231","Wayne County, KY",24963
"cty29185","St. Clair County, MO",24958
"cty29175","Randolph County, MO",24953
"cty28011","Bolivar County, MS",24950
"cty47099","Lawrence County, TN",24948
"cty47073","Hawkins County, TN",24944
"cty28057","Itawamba County, MS",24941
"cty05037","Cross County, AR",24938
"cty45049","Hampton County, SC",24937
"cty13245","Richmond County, GA",24935
"cty13321","Worth County, GA",24935
"cty01009","Blount County, AL",24929
"cty29510","St. Louis city, MO",24921
"cty37185","Warren County, NC",24914
"cty37123","Montgomery County, NC",24913
"cty45027","Clarendon County, SC",24911
"cty12047","Hamilton County, FL",24911
"cty28155","Webster County, MS",24898
"cty47179","Washington County, TN",24884
"cty37173","Swain County, NC",24877
"cty13099","Early County, GA",24858
"cty29055","Crawford County, MO",24849
"cty13087","Decatur County, GA",24848
"cty28029","Copiah County, MS",24844
"cty13181","Lincoln County, GA",24840
"cty13083","Dade County, GA",24838
"cty13227","Pickens County, GA",24829
"cty47075","Haywood County, TN",24827
"cty47063","Hamblen County, TN",24823
"cty51195","Wise County, VA",24794
"cty13255","Spalding County, GA",24784
"cty29057","Dade County, MO",24784
"cty28159","Winston County, MS",24776
"cty12055","Highlands County, FL",24774
"cty45023","Chester County, SC",24773
"cty37181","Vance County, NC",24772
"cty28051","Holmes County, MS",24768
"cty28003","Alcorn County, MS",24758
"cty54063","Monroe County, WV",24753
"cty22117","Washington Parish, LA",24739
"cty13093","Dooly County, GA",24739
"cty26035","Clare County, MI",24722
"cty37103","Jones County, NC",24710
"cty21125","Laurel County, KY",24707
"cty47129","Morgan County, TN",24700
"cty47109","McNairy County, TN",24699
"cty51035","Carroll County, VA",24695
"cty13301","Warren County, GA",24679
"cty37149","Polk County, NC",24674
"cty29059","Dallas County, MO",24673
"cty01035","Conecuh County, AL",24672
"cty37017","Bladen County, NC",24659
"cty05015","Carroll County, AR",24658
"cty51740","Portsmouth city, VA",24652
"cty13189","McDuffie County, GA",24647
"cty01049","DeKalb County, AL",24643
"cty13269","Taylor County, GA",24633
"cty22065","Madison Parish, LA",24617
"cty47133","Overton County, TN",24614
"cty46095","Mellette County, SD",24609
"cty54045","Logan County, WV",24604
"cty12121","Suwannee County, FL",24598
"cty21003","Allen County, KY",24595
"cty28145","Union County, MS",24579
"cty40029","Coal County, OK",24574
"cty37165","Scotland County, NC",24571
"cty29223","Wayne County, MO",24565
"cty29009","Barry County, MO",24565
"cty51105","Lee County, VA",24559
"cty47089","Jefferson County, TN",24554
"cty21139","Livingston County, KY",24553
"cty29023","Butler County, MO",24552
"cty13217","Newton County, GA",24546
"cty40021","Cherokee County, OK",24544
"cty40061","Haskell County, OK",24543
"cty45069","Marlboro County, SC",24539
"cty40133","Seminole County, OK",24530
"cty01133","Winston County, AL",24516
"cty13319","Wilkinson County, GA",24509
"cty37047","Columbus County, NC",24505
"cty05099","Nevada County, AR",24493
"cty45087","Union County, SC",24485
"cty08055","Huerfano County, CO",24481
"cty13233","Polk County, GA",24468
"cty40135","Sequoyah County, OK",24463
"cty54015","Clay County, WV",24462
"cty28087","Lowndes County, MS",24459
"cty13299","Ware County, GA",24454
"cty01113","Russell County, AL",24450
"cty45039","Fairfield County, SC",24427
"cty05075","Lawrence County, AR",24426
"cty05021","Clay County, AR",24426
"cty12041","Gilchrist County, FL",24424
"cty51091","Highland County, VA",24419
"cty51595","Emporia city, VA",24417
"cty29213","Taney County, MO",24417
"cty29209","Stone County, MO",24412
"cty13251","Screven County, GA",24381
"cty26079","Kalkaska County, MI",24380
"cty39105","Meigs County, OH",24373
"cty51580","Covington city, VA",24369
"cty21181","Nicholas County, KY",24351
"cty13195","Madison County, GA",24341
"cty21001","Adair County, KY",24307
"cty51690","Martinsville city, VA",24271
"cty35006","Cibola County, NM",24270
"cty48007","Aransas County, TX",24266
"cty37011","Avery County, NC",24254
"cty13187","Lumpkin County, GA",24245
"cty13289","Twiggs County, GA",24239
"cty13295","Walker County, GA",24238
"cty21075","Fulton County, KY",24231
"cty05105","Perry County, AR",24211
"cty29017","Bollinger County, MO",24207
"cty13287","Turner County, GA",24206
"cty29123","Madison County, MO",24203
"cty37141","Pender County, NC",24192
"cty21011","Bath County, KY",24187
"cty47155","Sevier County, TN",24184
"cty29187","St. Francois County, MO",24179
"cty51770","Roanoke city, VA",24166
"cty29067","Douglas County, MO",24152
"cty28053","Humphreys County, MS",24151
"cty05057","Hempstead County, AR",24144
"cty54075","Pocahontas County, WV",24132
"cty37111","McDowell County, NC",24130
"cty13243","Randolph County, GA",24112
"cty13161","Jeff Davis County, GA",24111
"cty37005","Alleghany County, NC",24104
"cty01127","Walker County, AL",24100
"cty01119","Sumter County, AL",24096
"cty28035","Forrest County, MS",24072
"cty54059","Mingo County, WV",24070
"cty05065","Izard County, AR",24064
"cty12051","Hendry County, FL",24060
"cty23029","Washington County, ME",24055
"cty29069","Dunklin County, MO",24054
"cty13125","Glascock County, GA",24052
"cty29225","Webster County, MO",24042
"cty21199","Pulaski County, KY",24005
"cty45029","Colleton County, SC",23996
"cty37115","Madison County, NC",23994
"cty13171","Lamar County, GA",23991
"cty18041","Fayette County, IN",23969
"cty01061","Geneva County, AL",23965
"cty29105","Laclede County, MO",23964
"cty29179","Reynolds County, MO",23957
"cty13065","Clinch County, GA",23956
"cty21133","Letcher County, KY",23952
"cty21197","Powell County, KY",23934
"cty13199","Meriwether County, GA",23931
"cty47145","Roane County, TN",23915
"cty51640","Galax city, VA",23915
"cty13013","Barrow County, GA",23904
"cty28107","Panola County, MS",23890
"cty13011","Banks County, GA",23889
"cty12123","Taylor County, FL",23877
"cty06015","Del Norte County, CA",23867
"cty35023","Hidalgo County, NM",23852
"cty48129","Donley County, TX",23845
"cty48271","Kinney County, TX",23822
"cty47071","Hardin County, TN",23796
"cty21203","Rockcastle County, KY",23783
"cty37065","Edgecombe County, NC",23782
"cty54005","Boone County, WV",23763
"cty29221","Washington County, MO",23748
"cty26039","Crawford County, MI",23742
"cty28097","Montgomery County, MS",23730
"cty51051","Dickenson County, VA",23728
"cty29065","Dent County, MO",23713
"cty13237","Putnam County, GA",23709
"cty13213","Murray County, GA",23705
"cty35031","McKinley County, NM",23681
"cty29149","Oregon County, MO",23678
"cty01067","Henry County, AL",23643
"cty45061","Lee County, SC",23632
"cty13003","Atkinson County, GA",23632
"cty28129","Smith County, MS",23603
"cty28099","Neshoba County, MS",23595
"cty13267","Tattnall County, GA",23583
"cty45053","Jasper County, SC",23582
"cty05113","Polk County, AR",23573
"cty13037","Calhoun County, GA",23556
"cty47101","Lewis County, TN",23546
"cty45067","Marion County, SC",23533
"cty40023","Choctaw County, OK",23530
"cty28151","Washington County, MS",23514
"cty40041","Delaware County, OK",23490
"cty28007","Attala County, MS",23485
"cty28111","Perry County, MS",23467
"cty21065","Estill County, KY",23463
"cty48405","San Augustine County, TX",23455
"cty02290","Yukon-Koyukuk Census Area, AK",23430
"cty21235","Whitley County, KY",23421
"cty21205","Rowan County, KY",23420
"cty21135","Lewis County, KY",23396
"cty47185","White County, TN",23395
"cty12093","Okeechobee County, FL",23374
"cty13019","Berrien County, GA",23366
"cty47057","Grainger County, TN",23363
"cty28025","Clay County, MS",23363
"cty12065","Jefferson County, FL",23356
"cty13055","Chattooga County, GA",23332
"cty37161","Rutherford County, NC",23330
"cty21195","Pike County, KY",23326
"cty47087","Jackson County, TN",23324
"cty29093","Iron County, MO",23324
"cty47169","Trousdale County, TN",23317
"cty29215","Texas County, MO",23316
"cty21099","Hart County, KY",23309
"cty01037","Coosa County, AL",23301
"cty16085","Valley County, ID",23301
"cty05111","Poinsett County, AR",23297
"cty13141","Hancock County, GA",23297
"cty12107","Putnam County, FL",23280
"cty05135","Sharp County, AR",23275
"cty21137","Lincoln County, KY",23269
"cty47019","Carter County, TN",23262
"cty51021","Bland County, VA",23252
"cty37095","Hyde County, NC",23238
"cty01085","Lowndes County, AL",23229
"cty13111","Fannin County, GA",23227
"cty51045","Craig County, VA",23220
"cty51730","Petersburg city, VA",23219
"cty13283","Treutlen County, GA",23218
"cty53069","Wahkiakum County, WA",23216
"cty35033","Mora County, NM",23215
"cty13081","Crisp County, GA",23213
"cty47079","Henry County, TN",23199
"cty21127","Lawrence County, KY",23196
"cty28133","Sunflower County, MS",23152
"cty01087","Macon County, AL",23142
"cty13197","Marion County, GA",23131
"cty37155","Robeson County, NC",23129
"cty13033","Burke County, GA",23119
"cty48267","Kimble County, TX",23090
"cty21187","Owen County, KY",23083
"cty13095","Dougherty County, GA",23083
"cty48407","San Jacinto County, TX",23052
"cty12027","DeSoto County, FL",23036
"cty21087","Green County, KY",23012
"cty13173","Lanier County, GA",23006
"cty13133","Greene County, GA",23000
"cty05089","Marion County, AR",22987
"cty47175","Van Buren County, TN",22967
"cty51049","Cumberland County, VA",22967
"cty05129","Searcy County, AR",22938
"cty12133","Washington County, FL",22922
"cty28027","Coahoma County, MS",22921
"cty04001","Apache County, AZ",22915
"cty12131","Walton County, FL",22889
"cty12075","Levy County, FL",22866
"cty29155","Pemiscot County, MO",22861
"cty54047","McDowell County, WV",22860
"cty46017","Buffalo County, SD",22858
"cty29153","Ozark County, MO",22855
"cty02195","Petersburg Borough, AK",22852
"cty01063","Greene County, AL",22849
"cty47135","Perry County, TN",22841
"cty13155","Irwin County, GA",22836
"cty05107","Phillips County, AR",22827
"cty13315","Wilcox County, GA",22825
"cty02198","Prince of Wales-Hyder Census Area, AK",22819
"cty28119","Quitman County, MS",22807
"cty21193","Perry County, KY",22804
"cty30059","Meagher County, MT",22777
"cty05149","Yell County, AR",22717
"cty47059","Greene County, TN",22711
"cty21121","Knox County, KY",22711
"cty13201","Miller County, GA",22671
"cty37039","Cherokee County, NC",22669
"cty47005","Benton County, TN",22656
"cty21043","Carter County, KY",22639
"cty47153","Sequatchie County, TN",22614
"cty35003","Catron County, NM",22601
"cty39131","Pike County, OH",22589
"cty05137","Stone County, AR",22584
"cty29035","Carter County, MO",22576
"cty21071","Floyd County, KY",22563
"cty21119","Knott County, KY",22524
"cty13043","Candler County, GA",22517
"cty13191","McIntosh County, GA",22477
"cty21153","Magoffin County, KY",22462
"cty13061","Clay County, GA",22461
"cty13273","Terrell County, GA",22442
"cty28135","Tallahatchie County, MS",22422
"cty35053","Socorro County, NM",22418
"cty51530","Buena Vista city, VA",22410
"cty13239","Quitman County, GA",22395
"cty21095","Harlan County, KY",22383
"cty47025","Claiborne County, TN",22330
"cty05127","Scott County, AR",22313
"cty45033","Dillon County, SC",22310
"cty08011","Bent County, CO",22295
"cty47139","Polk County, TN",22275
"cty29181","Ripley County, MO",22256
"cty12039","Gadsden County, FL",22229
"cty47007","Bledsoe County, TN",22223
"cty40001","Adair County, OK",22208
"cty05049","Fulton County, AR",22203
"cty13075","Cook County, GA",22165
"cty29133","Mississippi County, MO",22102
"cty13271","Telfair County, GA",22086
"cty21165","Menifee County, KY",22025
"cty47013","Campbell County, TN",22011
"cty12029","Dixie County, FL",21990
